ID,Nombre,FechaCreacion,ID_Creador,Descripcion
84,Chat privado iban76 - eustaquiomateu,2024-12-13,6,Conversación privada
85,Chat privado estevezbruno - amayamanuela,2024-12-28,12,Conversación privada
86,Chat privado psales - marcosplinio,2025-01-02,41,Conversación privada
87,Chat privado solisjennifer - arsenio60,2024-07-04,30,Conversación privada
88,Chat privado manugordillo - wjove,2024-09-01,27,Conversación privada
89,Chat privado manugordillo - llobo,2024-09-03,27,Conversación privada
90,Chat privado trini05 - carlitosoria,2025-03-06,15,Conversación privada
91,Chat privado pmatas - lojeda,2024-06-20,40,Conversación privada
92,Chat privado marcos33 - herminio48,2024-04-24,16,Conversación privada
93,Grupo de efrainpinto,2024-05-01,48,Grupo de conversación
94,Grupo de whervas,2025-01-15,25,Grupo de conversación
95,Grupo de trini05,2025-02-23,15,Grupo de conversación
96,Grupo de llobo,2024-08-07,31,Grupo de conversación
97,Grupo de trini05,2024-11-21,15,Grupo de conversación
98,Grupo de maria-teresauribe,2024-05-24,50,Grupo de conversación
99,Grupo de amayamanuela,2024-07-03,3,Grupo de conversación
100,Grupo de ciriaco86,2024-07-28,52,Grupo de conversación
101,Grupo de pintoleopoldo,2024-11-03,5,Grupo de conversación
102,Grupo de solisjennifer,2025-01-18,30,Grupo de conversación
103,Grupo de nilda17,2024-10-12,39,Grupo de conversación
104,Grupo de estevezbruno,2024-08-28,12,Grupo de conversación
105,Grupo de expositoaura,2024-11-21,32,Grupo de conversación
106,Grupo de carboisabel,2024-09-25,7,Grupo de conversación
107,Grupo de dreig,2024-12-07,10,Grupo de conversación
108,Grupo de arsenio60,2024-11-25,17,Grupo de conversación
109,Grupo extra de leopoldo23,2024-05-01,4,Grupo adicional
110,Grupo extra de llobo,2025-01-26,31,Grupo adicional
111,Grupo extra de bautistahernando,2024-07-01,8,Grupo adicional
112,Grupo extra de atapia,2024-04-24,21,Grupo adicional
113,Grupo extra de maestreeli,2024-11-04,45,Grupo adicional
114,Grupo extra de alfonso98,2025-02-10,9,Grupo adicional
115,Grupo extra de oliveraberta,2024-06-03,24,Grupo adicional
116,Grupo extra de santostorralba,2024-03-28,11,Grupo adicional
117,Grupo extra de ciriaco86,2025-03-16,52,Grupo adicional
118,Grupo extra de nilda17,2024-04-13,39,Grupo adicional
119,Grupo extra de whervas,2024-10-09,25,Grupo adicional
120,Grupo extra de herminio48,2024-07-04,14,Grupo adicional
121,Grupo extra de jhervas,2024-09-08,19,Grupo adicional
122,Grupo extra de ciriaco86,2024-12-25,52,Grupo adicional
123,Grupo extra de dcerda,2024-11-19,22,Grupo adicional
124,Grupo extra de jorgecases,2024-08-27,23,Grupo adicional
125,Grupo extra de leopoldo23,2024-07-06,4,Grupo adicional
126,Grupo extra de carmengol,2024-07-15,51,Grupo adicional
127,Grupo extra de arsenio60,2024-11-11,17,Grupo adicional
128,Grupo extra de ciriaco86,2024-08-02,52,Grupo adicional
129,Grupo extra de arsenio60,2024-04-03,17,Grupo adicional
130,Grupo extra de dcerda,2024-10-20,22,Grupo adicional
131,Grupo extra de dreig,2024-10-01,10,Grupo adicional
132,Grupo extra de leandromendizabal,2024-08-03,46,Grupo adicional
133,Grupo extra de leandromendizabal,2024-12-20,46,Grupo adicional
134,Grupo extra de pintoleopoldo,2025-01-12,5,Grupo adicional
